plantId,name_kr,name_en,grade,rarity,description,image_front,image_back,habitat,ecological_value,threats,synergy_ids,X,Y
leontopodium_coreanum_var._hallaisanense,ÇÑ¶ó¼Ø´Ù¸®,Leontopodium coreanum var. hallaisanense,1,Special,"The Jeju variant of the Edelweiss, this plant is covered in white, woolly hairs to protect itself from intense alpine UV rays and cold. Its star-shaped bracts make it a legendary sight of Mt. Halla.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/leontopodium_coreanum_var._hallaisanense_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/leontopodium_coreanum_var._hallaisanense_back.png,"Strictly endemic to the rocky outcrops and high-altitude meadows of Mt. Halla, Jeju (above 1,500m). It grows in windy, exposed areas where it can receive maximum sunlight.",A flagship species for the conservation of Mt. Halla's high-altitude ecosystem and a testament to the unique botanical evolution of Jeju Island.,Rising alpine temperatures are allowing more aggressive plants to invade its territory. Physical damage from hikers who stray from designated trails is also a major concern.,"[""alpine_survivors"", ""endemic_pride""]",,
cymbidium_kanran,ÇÑ¶õ,Cymbidium kanran,1,Special,"Recognized as a Natural Monument of Korea, the Winter-blooming Orchid is famous for its cold-defying spirit and noble, upright flowers. It is the pinnacle of East Asian orchid aesthetics.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/cymbidium_kanran_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/cymbidium_kanran_back.png,"Located in Seogwipo, Jeju Island, within deep, shaded valleys of evergreen broadleaf forests. It prefers moist, well-drained slopes between 200m and 300m above sea level.","A cultural and natural icon of Jeju Island. It plays a significant role in the winter pollination cycle, being one of the few plants to bloom in the cold season.","Despite its status as a Natural Monument, illegal poaching remains the greatest threat. Habitat loss due to forest management changes and land development also poses a risk.","[""jeju_guardians"", ""mystic_orchids""]",,
hyacinth_bean_flower,¸¸³âÄá,Euchresta japonica,1,Special,"A rare, woody bean plant that produces small, elegant white flowers. It is the only species in its genus found in Korea, making it a botanical mystery and a high-value conservation target.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/hyacinth_bean_flower_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/hyacinth_bean_flower_back.png,"Restricted to a single, highly localized valley on Jeju Island. It grows in the damp, shaded understory of evergreen forests, often near stream beds.","Represents the northernmost limit of its genus, making it essential for research on plant migration and climate-related evolution in East Asia.","Extreme rarity (less than 100 individuals in the wild) means any local disturbance?like a storm, landslide, or illegal harvest?could lead to immediate extinction.","[""jeju_guardians""]",,
han-gye-ryeong_pul,ÇÑ°è·ÉÇ®,Gymnospermium microrrhynchum,2,Rare,"An ephemeral herb that blooms with bright yellow flowers in early spring, right after the snow melts. It completes its entire life cycle in a short few weeks before the forest canopy closes.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/han-gye-ryeong_pul_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/han-gye-ryeong_pul_back.png,"High mountain ridges of Gangwon-do (Mt. Seorak, Mt. Odae) at altitudes above 1,000m. It grows in moist, organic-rich soil under deciduous forests.",A vital early-season food source for pollinators that emerge in early spring. It is a sensitive indicator of climate-induced changes in snowmelt and spring temperatures.,"Vulnerable to climate change; if spring arrives too early or snowmelt is inconsistent, its growth cycle is disrupted. Illegal collection by wild plant enthusiasts is also a major threat.","[""alpine_survivors"", ""mountain_guardians""]",,
korean_bellflower,±Ý°­ÃÊ·Õ²É,Hanabusaya asiatica,2,Rare,"Known as the Diamond Bluebell, this plant produces stunning violet, bell-shaped flowers that hang gracefully from its stems. It is a proud endemic species that only grows on the Korean Peninsula.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/korean_bellflower_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/korean_bellflower_back.png,"Found on cool, north-facing slopes of high mountains in central and eastern Korea (Mt. Geumgang, Mt. Seorak). It prefers altitudes between 580m and 1,400m in moist, loamy soil.","A 'monotypic' genus endemic to Korea, making it a critical genetic resource. It supports local bee populations who are the primary pollinators of its bell-shaped flowers.",Habitat destruction due to the construction of mountain facilities and trails. Climate change is also pushing its cool-climate habitat further up the mountains.,"[""endemic_pride"", ""mountain_guardians""]",,
winged_lily,³¯°³ÇÏ´Ã³ª¸®,Lilium dauricum,2,Rare,"A majestic lily with upward-facing, vibrant orange-red flowers covered in dark spots. Its name comes from the wing-like ridges on its stems, and it stands as a fiery symbol of alpine meadows.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/winged_lily_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/winged_lily_back.png,"Grows in sunny, high-altitude alpine meadows and grassy slopes of northern mountain ranges. It prefers well-drained soil and high-light environments.",A major nectar source for high-altitude butterflies and a key species for the biodiversity of subalpine grasslands.,Illegal collection for its beautiful flowers is the primary threat. Over-grazing by wild animals and habitat loss from trail development also contribute to its decline.,"[""mountain_guardians""]",,
baekyang_broomrape,¹é¾ç´õºÎ»ìÀÌ,Orobanche filicicola,2,Rare,A fascinating parasitic plant that lacks chlorophyll and lives entirely off the nutrients of its host. It produces spikes of pale purple flowers that emerge from the soil like ghostly fingers.,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/baekyang_broomrape_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/baekyang_broomrape_back.png,"Endemic to Korea, found near riverbanks and sandy gravel areas. It is specifically parasitic on the roots of Artemisia (Wormwood) species in regions like Mt. Baegyang and Jeju Island.",Represents a unique parasitic relationship within the Korean flora. Its presence indicates a stable and specific host-parasite ecosystem.,Habitat loss from riverbank development and the removal of its host plants (Artemisia) are the biggest dangers. Its specialized lifestyle makes it impossible to relocate once its habitat is disturbed.,"[""mountain_guardians""]",,
korean_edelweiss,¿Ö¼Ø´Ù¸®,Leontopodium coreanum,2,Rare,"The true Korean Edelweiss, this plant is famous for its fuzzy, star-shaped flowers that look like they are made of white felt. It is a symbol of courage and purity in Korean mountain culture.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/korean_edelweiss_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/korean_edelweiss_back.png,"Found on rocky cliffs and sunny, high-altitude slopes of mountains like Mt. Seorak and Mt. Odae. It is well-adapted to harsh winds and intense sunlight.",A flagship species for alpine conservation. Its woolly hairs are an incredible adaptation for temperature regulation and UV protection.,Illegal collection by hikers as souvenirs has historically devastated many populations. Habitat encroachment by shrubs and other plants due to climate change is a growing concern.,"[""alpine_survivors"", ""mountain_guardians""]",,
daecheong_iris,´ëÃ»ºÎÃ¤,Iris dichotoma,2,Rare,A unique iris that blooms in the late afternoon and withers by morning. Its fan-like leaves and pale violet flowers make it a mysterious beauty of the western islands.,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/daecheong_iris_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/daecheong_iris_back.png,"Strictly limited to the sunny, fertile coastal slopes of Daecheong and Baengnyeong Islands. It thrives in open, windy areas near the sea.",An 'Evening Bloomer' that has a specific relationship with nocturnal or crepuscular pollinators. Its narrow distribution makes it a high-priority maritime conservation species.,"Habitat destruction for military and coastal facilities. Additionally, over-grazing by livestock on the islands and its own specialized reproductive cycle make it vulnerable.","[""iris_collectors"", ""coastal_resilience""]",,
euryale_ferox,°¡½Ã¿¬²É,Euryale ferox,2,Rare,"The 'Prickly Water Lily' is a giant aquatic plant with leaves that can grow up to 2 meters wide, entirely covered in sharp thorns. Its mysterious purple flowers emerge from the water like a dragon's eye.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/euryale_ferox_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/euryale_ferox_back.png,"Grows in old, stagnant ponds and wetlands in southern Korea (e.g., Upo Wetland). It requires deep, nutrient-rich mud and stable water levels for its massive leaves to expand.","The largest freshwater plant in Korea. It provides essential habitat and shade for various aquatic insects, fish, and water birds.",The primary threat is wetland drainage and the transformation of old ponds into agricultural or industrial land. Water pollution also prevents its sensitive seeds from germinating.,"[""wetland_wonders""]",,
yellow-patterned_iris,³ë¶û¹«´Ì º×²É,Iris odaesanensis,2,Rare,"A beautiful iris featuring white petals with a distinct, bright yellow pattern at the center. It is an endemic species that adds a splash of color to the spring forest floor.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/yellow-patterned_iris_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/yellow-patterned_iris_back.png,"Found in the understory of deciduous forests and shaded forest edges in central and eastern Korea, most famously on Mt. Odae. It prefers moist, loamy soil at altitudes between 300m and 1,500m.",An endemic species that contributes to the floral diversity of the Baekdudaegan mountain range and supports spring pollination networks.,Illegal harvesting for home gardens and habitat loss from mountain trail widening and forest development projects.,"[""iris_collectors""]",,
aster_scaber,´Ü¾ç¾¦ºÎÀïÀÌ,Aster altaicus var. uchiyamae,2,Rare,"A localized variant of the Aster, this plant produces elegant pale purple flowers. It is a resilient survivor that thrives on the rocky limestone banks of the Namhan River.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/aster_scaber_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/aster_scaber_back.png,Restricted to the rocky limestone riverbanks and gravel bars of the Namhan River in Danyang and Yeongwol. It is adapted to survive seasonal flooding and poor soil conditions.,A specialized limestone-habitat plant that helps stabilize riverbank soil and provides resources for river-valley insects.,Habitat destruction due to river development projects (like dam and weir construction) and the invasion of exotic plants like Humulus japonicus that smother its growth.,"[""autumn_melancholy""]",,
jeibidonga_flower,Á¦ºñµ¿ÀÚ²É,Lychnis wilfordii,2,Rare,"A stunning wildflower with deep scarlet, fringed petals that resemble the wings of a swallow. It is a rare gem of the highland wetlands, glowing like fire amidst the green grass.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/jeibidonga_flower_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/jeibidonga_flower_back.png,Grows in high-altitude wetlands and moist meadows in Gangwon-do. It requires consistently wet soil and full sunlight to produce its vibrant red blooms.,An indicator species for the health of highland wetlands. It provides a unique nectar source for specialized highland butterflies.,Wetland drying due to climate change and agricultural runoff. It is also a target for illegal collection because of its uniquely beautiful and rare red flowers.,"[""wetland_wonders""]",,
gaksi_iris,°¢½Ãº×²É,Iris rossii,2,Rare,"A dwarf iris known for its deep violet flowers that bloom close to the ground. Its name 'Gaksi' (meaning 'bride') reflects its small, modest, and traditional beauty.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/gaksi_iris_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/gaksi_iris_back.png,"Found in sunny forest edges and grassy slopes throughout the country. It prefers well-drained soil and moderate sunlight, often appearing in early spring.",Adds to the genetic and aesthetic diversity of Korea's spring flora and supports early-season pollinators.,"Though more widely distributed than some, its habitats are frequently cleared for development. It is also often dug up for use in rock gardens.","[""iris_collectors""]",,
white_forsythia,¹Ì¼±³ª¹«,Abeliophyllum distichum,2,Rare,"Often called the 'White Forsythia,' this is a world-class rare plant. It is a monotypic genus, meaning this is the only species of its kind in the world, and it is native only to Korea.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/white_forsythia_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/white_forsythia_back.png,"Grows on rocky, limestone-rich slopes in specific regions like Goesan and Yeongdong. It prefers areas with good drainage and plenty of spring sunlight.","A botanical treasure of global importance. It is one of the first plants to bloom in spring, providing critical early nectar for bees.","Naturally small and fragmented populations. Historically, it was heavily poached for its uniqueness, and current populations are threatened by habitat changes and invasive species.","[""endemic_pride""]",,
rose,Àå¹Ì,Rosa hybrida,3,Normal,"The world's most famous flower, symbolizing love and beauty. In EcoGo, it represents the potential for every person to cultivate a beautiful green space.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/rose_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/rose_back.png,"Grows in a wide variety of environments, but prefers sunny areas with well-drained, fertile soil. It is a staple in urban gardens and parks worldwide.",Supports urban biodiversity by providing nectar for a wide range of bees and butterflies. It also improves air quality in city environments.,"Commonly affected by fungal diseases like black spot and pests like aphids. While not endangered, wild species of roses require protection from habitat loss.","[""classic_garden""]",,
tulip,Æ«¸³,Tulipa gesneriana,3,Normal,A spring-blooming bulb known for its vibrant colors and cup-shaped flowers. It is a symbol of perfect love and the joy of a new season.,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/tulip_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/tulip_back.png,Thrives in sunny spots with well-drained soil. They are widely planted in temperate regions during the autumn for a spring display.,"An early-season nectar source for bees emerging from winter. They enhance the aesthetic value of urban green spaces, boosting human well-being.",Mainly affected by bulb rot and squirrels who may dig them up. They require careful water management to prevent fungal growth.,"[""classic_garden""]",,
sunflower,ÇØ¹Ù¶ó±â,Helianthus annuus,3,Normal,"A towering plant known for its massive yellow flower heads that follow the sun. It is a symbol of loyalty, longevity, and positive energy.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/sunflower_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/sunflower_back.png,"Requires full sun and deep, fertile soil to support its height. It is highly adaptable and can grow in various fields and gardens.","A powerhouse for pollinators, attracting numerous bees and birds. Its seeds provide a high-energy food source for wildlife during the winter.","Vulnerable to high winds due to its height. While common, they can be affected by drought and specific pests like the sunflower moth.","[""classic_garden"", ""sun_kissed""]",,
chrysanthemum,±¹È­,Chrysanthemum morifolium,3,Normal,"An autumn favorite, known for its incredible variety of shapes and colors. It represents longevity and is deeply rooted in East Asian culture.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/chrysanthemum_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/chrysanthemum_back.png,"Prefers full sun and rich, moist soil. They are hardy plants that bloom when most other flowers have faded for the year.",Provides a crucial late-season food source for pollinators before they hibernate. They are also known for their air-purifying properties.,Sensitive to waterlogged soil which can cause root rot. They are generally resilient but can be targeted by spider mites and aphids.,"[""autumn_melancholy""]",,
lily,¹éÇÕ,Lilium longiflorum,3,Normal,A flower of pure white beauty and intense fragrance. It is often used in ceremonies and represents rebirth and purity.,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/lily_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/lily_back.png,Grows best in sunny or partially shaded spots with 'cool feet' (shaded roots). They require well-drained soil to prevent bulb damage.,Attracts nocturnal pollinators with its strong evening fragrance. They are a significant part of the floral ecosystem in both wild and cultivated settings.,Highly toxic to cats and can be damaged by lily beetles. They require protection from extreme moisture during their dormant period.,"[""classic_garden"", ""elegant_scent""]",,
carnation,Ä«³×ÀÌ¼Ç,Dianthus caryophyllus,3,Normal,"Known for its ruffled petals and spicy fragrance, the carnation is a symbol of gratitude and affection, especially on Mother's Day.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/carnation_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/carnation_back.png,"Prefers cool climates and well-drained, slightly alkaline soil. They are popular in greenhouses and home gardens.",Provides nectar for various butterflies and adds to the structural diversity of garden flower beds.,"Can be affected by wilt and rust diseases. While common, they require consistent attention to soil pH and water levels.","[""classic_garden""]",,
cherry_blossom,_²É,Prunus serrulata,3,Normal,"The ephemeral symbol of spring, blooming in clouds of pink and white. It represents the fleeting nature of life and the beauty of a fresh start.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/cherry_blossom_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/cherry_blossom_back.png,"Grows in temperate climates, often planted along streets and in parks. They prefer sunny spots and well-drained, rich soil.",A critical spring food source for thousands of bees and insects. They also provide nesting sites for birds in urban areas.,Vulnerable to various wood-boring insects and fungal diseases. Urban trees also face stress from pollution and soil compaction.,"[""urban_spring""]",,
forsythia,°³³ª¸®,Forsythia koreana,3,Normal,"One of the first signs of spring in Korea, this shrub produces bright yellow, bell-shaped flowers that cover its long, arching branches.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/forsythia_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/forsythia_back.png,"Highly resilient and grows in most soils, provided they are not too wet. It is a common sight in gardens, hillsides, and city streets.",An essential early nectar source. Its dense growth provides excellent cover and nesting habitat for small songbirds.,"Very few natural threats due to its hardiness, but it can be affected by leaf spot or gall if not properly pruned and cared for.","[""urban_spring""]",,
azalea,Áø´Þ·¡,Rhododendron mucronulatum,3,Normal,"A beloved flower of the Korean mountains, blooming in shades of purple and pink before its leaves appear. It is a symbol of nostalgic spring days.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/azalea_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/azalea_back.png,Grows on sunny or partially shaded mountain slopes and hillsides across the peninsula. It prefers acidic soil and moderate moisture.,"A core species of the Korean forest understory, providing food for early insects and contributing to the seasonal rhythm of the ecosystem.",Habitat loss due to mountain development and the encroachment of larger trees that shade them out. They are also sensitive to extreme drought.,"[""urban_spring""]",,
daffodill,¼ö¼±È­,Narcissus pseudonarcissus,3,Normal,A bright yellow or white spring flower with a central trumpet. It symbolizes rebirth and is a herald of the end of winter.,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/daffodill_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/daffodill_back.png,Grows from bulbs in sunny or lightly shaded meadows and gardens. They are very hardy and often return year after year.,"One of the earliest sources of pollen for bees. Their toxic alkaloids prevent them from being eaten by deer and rabbits, allowing them to thrive in the wild.","Bulb rot from overly wet soil and the 'narcissus bulb fly.' While not endangered, they require proper drainage to survive the dormant season.","[""sun_kissed""]",,
hyacinth,È÷¾Æ½Å½º,Hyacinthus orientalis,3,Normal,"Known for its dense spikes of fragrant, bell-shaped flowers. It comes in a wide range of colors and is a popular choice for spring indoor and outdoor gardens.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/hyacinth_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/hyacinth_back.png,"Prefers sunny locations with fertile, well-drained soil. They are typically planted as bulbs in the autumn.",Attracts early spring bees with its strong fragrance. They provide a high-density nectar source in a small area.,The bulbs are sensitive to rot and can be damaged by excessive frost if not buried deep enough. They also decline in vigor over several years.,"[""elegant_scent""]",,
